street_name,defect_type,severity,latitude,longitude
Tahrir Square Rd,pothole,3,30.049833,31.243319
Tahrir Square Rd,rutting,3,30.043743,31.230456
Salah Salem,crack,2,30.075631,31.286119
Ain Shams St,crack,5,30.114596,31.313864
Suez Desert Rd,rutting,1,30.100962,31.402722
Ring Road,edge_break,2,30.02788,31.201031
Airport Rd,marking,4,30.114589,31.392858
Autostrad Rd,crack,4,30.075861,31.342475
Abbas El Akkad,rutting,3,30.067288,31.313963
Ramsis St,pothole,1,30.061109,31.245473
Mohandiseen Rd,rutting,4,30.065699,31.204054
Port Said St,crack,4,30.064107,31.267281
October Bridge,crack,3,30.055321,31.225505
Mohamed Farid St,marking,2,30.058915,31.255272
Salah Salem,rutting,2,30.069555,31.275602
Mohandiseen Rd,rutting,2,30.059822,31.200487
Suez Desert Rd,crack,4,30.09289,31.400471
Pyramids Rd,crack,4,29.963701,31.135112
Maadi Corniche,rutting,5,29.97162,31.251068
Autostrad Rd,rutting,4,30.082405,31.350876
Ring Road,rutting,2,30.013518,31.205053
Mohandiseen Rd,pothole,5,30.058542,31.19665
Shubra St,rutting,3,30.109899,31.263942
Mohandiseen Rd,pothole,5,30.054152,31.198137
Mohamed Farid St,crack,3,30.055544,31.247525
Dokki St,edge_break,2,30.042347,31.212922
Ain Shams St,rutting,5,30.106536,31.322838
Mohamed Farid St,rutting,3,30.052757,31.253071
Mohandiseen Rd,pothole,2,30.065098,31.194223
Port Said St,pothole,3,30.074252,31.253188
Nasr Rd,crack,3,30.063536,31.333613
Dokki St,pothole,2,30.047384,31.202358
Dokki St,pothole,5,30.045409,31.203174
Ain Shams St,crack,4,30.10993,31.313494
Suez Desert Rd,marking,4,30.105163,31.398774
Nasr Rd,pothole,3,30.067468,31.327156
Airport Rd,pothole,1,30.120323,31.39611
Abbas El Akkad,rutting,5,30.066717,31.316384
Corniche El Nil,crack,4,30.060354,31.238978
Port Said St,pothole,4,30.07203,31.252622
Ramsis St,pothole,1,30.069449,31.250722
October Bridge,rutting,5,30.050739,31.233134
Maadi Corniche,rutting,3,29.970201,31.243813
Port Said St,crack,3,30.063574,31.254516
Ain Shams St,pothole,2,30.113216,31.315498
Mohandiseen Rd,crack,3,30.065356,31.205282
Corniche El Nil,crack,4,30.051804,31.238503
Maadi Corniche,subsidence,1,29.977848,31.253126
Pyramids Rd,crack,5,29.975195,31.132737
Ring Road,rutting,5,30.026878,31.207207
Autostrad Rd,crack,2,30.087144,31.350252
Autostrad Rd,pothole,5,30.075732,31.352747
Heliopolis Ave,subsidence,1,30.088744,31.315167
Tahrir Square Rd,pothole,3,30.040636,31.232563
Tahrir Square Rd,marking,4,30.052278,31.227926
Autostrad Rd,pothole,3,30.087024,31.35056
Ain Shams St,subsidence,3,30.110245,31.321706
Nasr Rd,crack,3,30.052131,31.325589
Airport Rd,pothole,3,30.114833,31.40693
Maadi Corniche,rutting,4,29.963156,31.253103
Salah Salem,pothole,5,30.064615,31.275145
Nasr Rd,pothole,5,30.059687,31.325071
October Bridge,crack,5,30.048849,31.225324
Tahrir Square Rd,crack,1,30.049867,31.240689
Corniche El Nil,marking,1,30.052923,31.23199
Autostrad Rd,crack,2,30.074834,31.353164
Pyramids Rd,rutting,4,29.969213,31.127075
Nasr Rd,rutting,3,30.06442,31.332724
Airport Rd,crack,4,30.116315,31.398001
Dokki St,edge_break,4,30.040556,31.212218
Pyramids Rd,crack,3,29.966435,31.13141
Tahrir Square Rd,marking,4,30.051709,31.234373
Shubra St,crack,5,30.117164,31.269263
Ain Shams St,rutting,3,30.104871,31.325628
Salah Salem,crack,2,30.066655,31.284192
Ain Shams St,crack,2,30.109305,31.327553
Mohamed Farid St,rutting,1,30.050476,31.250248
Shubra St,marking,3,30.107328,31.271379
Pyramids Rd,crack,5,29.972923,31.124801
Airport Rd,pothole,1,30.11771,31.399135
Dokki St,marking,2,30.043456,31.203086
October Bridge,marking,4,30.049957,31.234862
Pyramids Rd,rutting,4,29.975094,31.12695
Ring Road,pothole,2,30.015669,31.196917
Heliopolis Ave,crack,2,30.090027,31.31748
Mohamed Farid St,pothole,5,30.065657,31.255163
Corniche El Nil,pothole,1,30.050582,31.238454
Mohamed Farid St,crack,1,30.057035,31.243707
Tahrir Square Rd,pothole,1,30.038458,31.24196
Mohandiseen Rd,pothole,5,30.058435,31.205856
Port Said St,crack,2,30.064462,31.257859
Nasr Rd,crack,5,30.061064,31.325696
Heliopolis Ave,pothole,2,30.088727,31.318501
Corniche El Nil,pothole,3,30.049417,31.234651
October Bridge,crack,2,30.062748,31.236577
Shubra St,crack,1,30.104071,31.275889
Mohamed Farid St,subsidence,4,30.061027,31.249479
Salah Salem,pothole,1,30.075832,31.280958
Nasr Rd,edge_break,2,30.056437,31.323891
Port Said St,pothole,3,30.064308,31.253892
Mohandiseen Rd,rutting,5,30.063107,31.195943
Ring Road,subsidence,2,30.017534,31.20166
Autostrad Rd,crack,1,30.075856,31.347114
Abbas El Akkad,rutting,5,30.058895,31.318484
Port Said St,crack,3,30.076464,31.265058
Ramsis St,pothole,5,30.05869,31.246767
Autostrad Rd,rutting,2,30.084759,31.348283
Ramsis St,subsidence,4,30.067847,31.249594
Mohamed Farid St,crack,2,30.053886,31.252907
Tahrir Square Rd,pothole,3,30.037397,31.235779
Mohandiseen Rd,subsidence,3,30.066126,31.207967
Port Said St,edge_break,5,30.072281,31.254974
October Bridge,rutting,3,30.050061,31.225816
Port Said St,rutting,5,30.063012,31.253233
Suez Desert Rd,pothole,5,30.099411,31.39784
Ramsis St,pothole,4,30.058817,31.247408
Corniche El Nil,marking,4,30.05391,31.243055
Mohamed Farid St,pothole,2,30.053269,31.242521
Port Said St,pothole,1,30.062902,31.257683
Mohamed Farid St,pothole,4,30.062612,31.24562
Shubra St,marking,5,30.117058,31.269769
Pyramids Rd,pothole,3,29.969955,31.128543
Autostrad Rd,pothole,4,30.085354,31.354418
Port Said St,pothole,4,30.066533,31.256855
Suez Desert Rd,pothole,3,30.099154,31.399408
Shubra St,pothole,1,30.112965,31.262023
Port Said St,subsidence,4,30.062411,31.26628
Ain Shams St,pothole,4,30.102232,31.325039
Abbas El Akkad,rutting,2,30.068545,31.316726
Heliopolis Ave,pothole,3,30.088441,31.313131
Heliopolis Ave,marking,2,30.090055,31.320509
Mohandiseen Rd,rutting,3,30.0589,31.19953
Shubra St,rutting,3,30.107836,31.267674
Mohamed Farid St,marking,3,30.059902,31.243557
Tahrir Square Rd,pothole,3,30.048734,31.234244
October Bridge,rutting,2,30.057211,31.236125
Shubra St,crack,2,30.117872,31.277708
Mohamed Farid St,pothole,4,30.061286,31.248591
Abbas El Akkad,crack,1,30.071491,31.327123
Abbas El Akkad,pothole,5,30.058135,31.323943
Dokki St,crack,3,30.046788,31.211945
Ramsis St,crack,2,30.058294,31.244004
Ring Road,pothole,2,30.02682,31.197282
Suez Desert Rd,pothole,5,30.100702,31.398088
Salah Salem,crack,3,30.072445,31.275744
Mohamed Farid St,marking,1,30.062905,31.246937
Airport Rd,crack,3,30.119261,31.396329
Mohamed Farid St,edge_break,1,30.059894,31.251296
Nasr Rd,crack,3,30.053833,31.329638
Ain Shams St,rutting,5,30.110891,31.317512
Maadi Corniche,crack,1,29.965363,31.253667
Ring Road,crack,4,30.016931,31.204218
Pyramids Rd,rutting,1,29.969338,31.131684
Airport Rd,crack,2,30.115089,31.40351
Ain Shams St,marking,3,30.11092,31.320947
Salah Salem,crack,4,30.074151,31.282837
Ring Road,pothole,4,30.024064,31.202477
Salah Salem,crack,3,30.071677,31.273191
Mohandiseen Rd,crack,4,30.059025,31.193605
Dokki St,crack,1,30.045578,31.202706
Mohandiseen Rd,pothole,3,30.060519,31.197916
Airport Rd,subsidence,1,30.117211,31.394891
Salah Salem,rutting,4,30.065009,31.280297
Shubra St,marking,4,30.106763,31.264902
Abbas El Akkad,pothole,3,30.066822,31.325392
Pyramids Rd,pothole,5,29.974698,31.126272
Autostrad Rd,pothole,2,30.083373,31.351732
October Bridge,rutting,4,30.062614,31.230238
Port Said St,rutting,4,30.068721,31.256621
Mohandiseen Rd,rutting,2,30.053152,31.201779
Nasr Rd,pothole,2,30.067699,31.324735
Ring Road,pothole,4,30.013713,31.194653
Port Said St,edge_break,1,30.068079,31.255029
Ramsis St,crack,3,30.069086,31.255262
Ain Shams St,pothole,3,30.113734,31.326551
October Bridge,crack,3,30.058937,31.233991
Salah Salem,pothole,5,30.073265,31.283128
Ramsis St,subsidence,3,30.062141,31.251077
Salah Salem,crack,5,30.075837,31.279485
Shubra St,rutting,3,30.113408,31.266048
Airport Rd,rutting,2,30.116391,31.394076
October Bridge,crack,1,30.051239,31.233236
Pyramids Rd,subsidence,1,29.9744,31.124546
Dokki St,rutting,1,30.04442,31.207011
October Bridge,pothole,4,30.058689,31.234509
Heliopolis Ave,crack,4,30.088786,31.312926
Abbas El Akkad,marking,3,30.058969,31.324779
Ain Shams St,pothole,5,30.103057,31.319986
Suez Desert Rd,pothole,5,30.097481,31.401541
Ramsis St,crack,4,30.069579,31.249111
Mohamed Farid St,marking,3,30.055784,31.25264
Salah Salem,crack,3,30.071136,31.273057
Autostrad Rd,crack,1,30.086563,31.345507
Abbas El Akkad,pothole,4,30.071586,31.312976
Tahrir Square Rd,marking,2,30.041989,31.237528
Tahrir Square Rd,rutting,4,30.049093,31.240669
Mohandiseen Rd,subsidence,1,30.057937,31.205454
Salah Salem,pothole,2,30.064567,31.277007
Mohamed Farid St,crack,4,30.0632,31.252526
Ramsis St,crack,3,30.067036,31.252855
Mohamed Farid St,crack,2,30.055112,31.254403
Shubra St,pothole,2,30.113887,31.270955
Corniche El Nil,rutting,5,30.062202,31.243656
October Bridge,subsidence,2,30.047013,31.228991
Autostrad Rd,rutting,1,30.081684,31.345619
Suez Desert Rd,pothole,3,30.105417,31.39606
Corniche El Nil,pothole,5,30.057618,31.237113
Maadi Corniche,subsidence,1,29.962871,31.252825
Corniche El Nil,edge_break,2,30.061446,31.238766
Suez Desert Rd,pothole,2,30.092471,31.401554
Dokki St,pothole,3,30.046978,31.212716
Ring Road,rutting,4,30.012002,31.19444
Ain Shams St,rutting,4,30.117951,31.327087
Airport Rd,pothole,4,30.113356,31.398233
Abbas El Akkad,subsidence,5,30.068278,31.312645
Corniche El Nil,marking,3,30.053771,31.243361
Ain Shams St,pothole,4,30.10335,31.31508
Ramsis St,rutting,3,30.062675,31.256026
Heliopolis Ave,crack,5,30.094975,31.32502
Salah Salem,marking,2,30.062466,31.27918
Salah Salem,marking,3,30.062626,31.277846
Airport Rd,crack,3,30.118098,31.405319
Mohandiseen Rd,crack,3,30.066145,31.193977
Salah Salem,rutting,4,30.070478,31.284408
Nasr Rd,edge_break,1,30.060032,31.323761
Heliopolis Ave,pothole,3,30.08595,31.318194
October Bridge,rutting,4,30.057204,31.232791
Abbas El Akkad,pothole,5,30.066489,31.314276
Corniche El Nil,pothole,2,30.057085,31.238478
Shubra St,crack,3,30.112114,31.269295
Tahrir Square Rd,marking,4,30.043591,31.231725
Ain Shams St,marking,3,30.116977,31.315869
Corniche El Nil,pothole,3,30.052171,31.244087
Shubra St,crack,1,30.107027,31.27326
Maadi Corniche,subsidence,3,29.971937,31.253964
Salah Salem,crack,5,30.072668,31.287142
Port Said St,crack,4,30.075718,31.255813
Nasr Rd,crack,3,30.052906,31.334428
Nasr Rd,rutting,4,30.062388,31.324515
Suez Desert Rd,crack,2,30.093371,31.395902
Autostrad Rd,rutting,5,30.07471,31.345257
Pyramids Rd,pothole,5,29.972565,31.132277
Tahrir Square Rd,pothole,3,30.044392,31.23751
October Bridge,subsidence,3,30.055893,31.233935
Shubra St,crack,4,30.11208,31.264842
Ramsis St,rutting,1,30.068371,31.246777
Mohandiseen Rd,pothole,3,30.066366,31.205265
Salah Salem,edge_break,3,30.062853,31.279025
Maadi Corniche,pothole,2,29.969442,31.25168
Shubra St,crack,2,30.110732,31.266303
Mohandiseen Rd,crack,4,30.064068,31.196655
Corniche El Nil,pothole,5,30.050021,31.239672
Corniche El Nil,marking,4,30.048427,31.233147
Ramsis St,crack,2,30.062241,31.243987
Maadi Corniche,crack,1,29.969017,31.249287
Ring Road,pothole,5,30.021892,31.196925
Mohamed Farid St,rutting,2,30.061419,31.244115
Mohandiseen Rd,rutting,4,30.059022,31.195846
Port Said St,rutting,2,30.064783,31.253198
Port Said St,crack,4,30.062815,31.264713
Nasr Rd,marking,5,30.062391,31.322773
Abbas El Akkad,crack,3,30.068254,31.313975
Suez Desert Rd,pothole,2,30.103589,31.395659
Nasr Rd,crack,4,30.054873,31.329343
Maadi Corniche,crack,5,29.968445,31.248669
Ring Road,crack,2,30.020641,31.19276
Salah Salem,pothole,1,30.066305,31.274061
Abbas El Akkad,crack,2,30.062266,31.316277
Airport Rd,crack,3,30.12131,31.405442
Ramsis St,marking,1,30.059217,31.242808
Mohamed Farid St,pothole,1,30.059386,31.245244
Ring Road,pothole,5,30.023234,31.199293
Maadi Corniche,rutting,3,29.962763,31.255604
Maadi Corniche,pothole,4,29.966024,31.256876
Nasr Rd,pothole,3,30.061354,31.326454
Maadi Corniche,edge_break,4,29.97525,31.248737
Mohamed Farid St,pothole,3,30.052895,31.241749
Heliopolis Ave,subsidence,3,30.082581,31.312496
Ring Road,edge_break,2,30.027306,31.199475
Nasr Rd,crack,1,30.056198,31.331845
Abbas El Akkad,subsidence,4,30.060934,31.31379
Suez Desert Rd,marking,2,30.106584,31.395634
Port Said St,subsidence,4,30.067678,31.265139
Abbas El Akkad,pothole,2,30.07258,31.324091
October Bridge,rutting,5,30.060233,31.235365
Dokki St,pothole,2,30.038669,31.215268
Corniche El Nil,rutting,4,30.061312,31.237558
October Bridge,crack,3,30.047277,31.235341
Airport Rd,crack,4,30.1216,31.398396
Ring Road,subsidence,3,30.019072,31.196045
Suez Desert Rd,crack,2,30.09814,31.398396
Pyramids Rd,pothole,3,29.974852,31.135929
Port Said St,pothole,4,30.073617,31.259786
Corniche El Nil,marking,2,30.057647,31.237772
Nasr Rd,crack,5,30.057604,31.337162
Maadi Corniche,crack,2,29.969185,31.251038
Heliopolis Ave,subsidence,5,30.087873,31.312043
Ramsis St,crack,3,30.066642,31.256013
Ain Shams St,pothole,5,30.108583,31.326332
Heliopolis Ave,pothole,4,30.082321,31.327751
Port Said St,pothole,4,30.070046,31.260296
Heliopolis Ave,crack,4,30.092817,31.316328
Maadi Corniche,rutting,3,29.969193,31.243066
Suez Desert Rd,crack,4,30.100189,31.394813
October Bridge,pothole,3,30.062134,31.227295
Salah Salem,crack,4,30.069587,31.279917
Ramsis St,pothole,1,30.054932,31.244878
Mohamed Farid St,marking,4,30.056359,31.251712
Autostrad Rd,subsidence,3,30.082338,31.351827
Nasr Rd,crack,4,30.057554,31.325725
Mohamed Farid St,marking,1,30.054107,31.252196
Abbas El Akkad,marking,3,30.064967,31.327855
Autostrad Rd,rutting,3,30.081403,31.352893
Dokki St,rutting,3,30.034787,31.21138
Mohandiseen Rd,edge_break,3,30.053082,31.203562
Airport Rd,crack,5,30.121989,31.398036
Pyramids Rd,marking,3,29.973152,31.129957
Shubra St,crack,1,30.108283,31.275172
Suez Desert Rd,crack,1,30.101471,31.400807
Heliopolis Ave,crack,4,30.095013,31.319925
Pyramids Rd,pothole,4,29.972795,31.132622
Pyramids Rd,pothole,2,29.972821,31.128849
Salah Salem,crack,2,30.073685,31.280762
Airport Rd,pothole,4,30.127924,31.400203
Suez Desert Rd,marking,3,30.097755,31.403845
Abbas El Akkad,pothole,2,30.063063,31.312853
Heliopolis Ave,pothole,3,30.09625,31.316714
Tahrir Square Rd,rutting,3,30.040362,31.232563
Tahrir Square Rd,crack,4,30.045708,31.231088
Heliopolis Ave,subsidence,1,30.097802,31.326136
Heliopolis Ave,subsidence,2,30.096387,31.325007
Maadi Corniche,subsidence,1,29.977132,31.252838
Heliopolis Ave,pothole,3,30.08208,31.314992
Heliopolis Ave,pothole,4,30.0924,31.324351
Mohamed Farid St,crack,4,30.055685,31.254952
Ring Road,pothole,3,30.026405,31.195516
Nasr Rd,crack,5,30.067966,31.329018
Ring Road,marking,5,30.017992,31.200179
Abbas El Akkad,rutting,1,30.068528,31.3153
Shubra St,crack,3,30.10418,31.275677
Ain Shams St,marking,4,30.112637,31.31537
Maadi Corniche,rutting,4,29.974595,31.243648
Dokki St,pothole,2,30.040165,31.206074
Corniche El Nil,crack,4,30.054798,31.237599
Airport Rd,rutting,5,30.122623,31.394807
Tahrir Square Rd,subsidence,3,30.044599,31.232492
Tahrir Square Rd,pothole,4,30.050274,31.235138
Port Said St,rutting,5,30.075847,31.258189
Airport Rd,marking,2,30.127855,31.404105
Salah Salem,crack,5,30.065428,31.273795
Mohandiseen Rd,subsidence,3,30.052645,31.201638
Mohamed Farid St,pothole,5,30.064717,31.25559
Airport Rd,crack,4,30.118123,31.400463
Port Said St,pothole,1,30.070483,31.258332
Suez Desert Rd,subsidence,3,30.098455,31.397156
Ring Road,pothole,4,30.019141,31.206728
Corniche El Nil,rutting,2,30.06375,31.243562
Salah Salem,rutting,2,30.062443,31.274729
Nasr Rd,rutting,2,30.05517,31.32821
Autostrad Rd,marking,3,30.086746,31.356567
Salah Salem,subsidence,4,30.064634,31.282897
Mohandiseen Rd,crack,5,30.065119,31.205165
Mohandiseen Rd,pothole,3,30.062676,31.192868
Corniche El Nil,edge_break,1,30.061822,31.237827
Suez Desert Rd,crack,1,30.092537,31.398014
Mohandiseen Rd,crack,2,30.057466,31.194746
Dokki St,crack,4,30.04653,31.205948
Autostrad Rd,subsidence,3,30.072849,31.346045
Ring Road,edge_break,3,30.01745,31.202733
Pyramids Rd,pothole,5,29.972642,31.124693
Airport Rd,marking,1,30.121057,31.405005
Mohamed Farid St,marking,5,30.054486,31.246826
Maadi Corniche,marking,4,29.976971,31.248744
Airport Rd,pothole,3,30.113257,31.39407
Ring Road,pothole,3,30.025072,31.192451
Autostrad Rd,pothole,3,30.074804,31.347203
Corniche El Nil,crack,4,30.051872,31.233484
Ramsis St,pothole,2,30.058648,31.249841
October Bridge,pothole,3,30.05136,31.234039
Tahrir Square Rd,pothole,3,30.039884,31.230131
Ain Shams St,crack,3,30.105647,31.325934
Heliopolis Ave,rutting,2,30.088104,31.316408
Abbas El Akkad,edge_break,2,30.057611,31.316896
Maadi Corniche,pothole,1,29.969819,31.252193
Suez Desert Rd,rutting,1,30.107692,31.395342
Port Said St,crack,5,30.069734,31.26546
Ramsis St,rutting,2,30.064087,31.254556
Suez Desert Rd,rutting,5,30.09239,31.392917
Autostrad Rd,crack,2,30.079964,31.353148
Suez Desert Rd,pothole,5,30.102005,31.393969
Ring Road,crack,5,30.018435,31.2017
Ring Road,crack,2,30.014531,31.20447
Suez Desert Rd,pothole,4,30.101446,31.400474
Dokki St,rutting,5,30.03541,31.208218
Maadi Corniche,crack,3,29.977859,31.255769
October Bridge,pothole,3,30.048211,31.227576
Shubra St,marking,2,30.107983,31.263254
October Bridge,subsidence,4,30.052733,31.232656
Shubra St,crack,3,30.109185,31.262927
Abbas El Akkad,crack,2,30.068504,31.323023
Heliopolis Ave,marking,4,30.093132,31.313593
Mohandiseen Rd,pothole,2,30.059044,31.207152
Ring Road,pothole,3,30.015114,31.206206
Ring Road,crack,2,30.022708,31.204213
Shubra St,pothole,5,30.108346,31.266496
Corniche El Nil,crack,2,30.049938,31.238199
Ramsis St,crack,5,30.060179,31.254413
Pyramids Rd,edge_break,3,29.970687,31.127146
Mohandiseen Rd,crack,2,30.060406,31.199843
Dokki St,pothole,3,30.039888,31.21413
Corniche El Nil,pothole,2,30.059243,31.233235
Corniche El Nil,marking,3,30.057935,31.246534
Abbas El Akkad,crack,5,30.057074,31.313688
Suez Desert Rd,edge_break,2,30.094397,31.397855
Pyramids Rd,edge_break,4,29.967759,31.123801
Corniche El Nil,crack,5,30.053031,31.234786
Tahrir Square Rd,pothole,3,30.03847,31.239691
Pyramids Rd,pothole,5,29.976148,31.130317
Ring Road,edge_break,3,30.015781,31.202108
Ring Road,crack,1,30.023764,31.207718
Ring Road,marking,4,30.01828,31.198177
Salah Salem,crack,4,30.06823,31.278092
Heliopolis Ave,rutting,5,30.09383,31.318071
Tahrir Square Rd,subsidence,1,30.039903,31.234605
Tahrir Square Rd,subsidence,1,30.043738,31.228947
October Bridge,pothole,1,30.048072,31.230939
Tahrir Square Rd,rutting,4,30.046776,31.236488
Suez Desert Rd,pothole,4,30.092701,31.40299
Mohandiseen Rd,crack,3,30.064027,31.197218
Maadi Corniche,pothole,4,29.964857,31.245579
Airport Rd,rutting,5,30.112617,31.399554
Abbas El Akkad,pothole,4,30.070492,31.320455
Ramsis St,subsidence,1,30.057111,31.25542
Ain Shams St,subsidence,4,30.1083,31.324262
Heliopolis Ave,pothole,4,30.082881,31.317081
Ain Shams St,pothole,5,30.110599,31.31203
Shubra St,marking,4,30.11284,31.264612
Corniche El Nil,crack,3,30.053126,31.235206
Ramsis St,marking,3,30.068668,31.253712
Maadi Corniche,marking,5,29.970542,31.25181
Mohamed Farid St,crack,4,30.064267,31.251518
Ain Shams St,crack,3,30.103684,31.317374
Mohandiseen Rd,crack,1,30.055894,31.199022
Dokki St,crack,3,30.043678,31.215728
Shubra St,rutting,3,30.116604,31.263767
October Bridge,crack,3,30.05814,31.237947
Suez Desert Rd,edge_break,1,30.093259,31.405141
Ramsis St,crack,3,30.068277,31.251622
Tahrir Square Rd,pothole,5,30.037826,31.240735
Pyramids Rd,rutting,2,29.966258,31.133579
Shubra St,rutting,3,30.102101,31.266597
Autostrad Rd,edge_break,3,30.085628,31.345998
Mohandiseen Rd,rutting,3,30.057445,31.193759
Corniche El Nil,subsidence,1,30.061827,31.231974
Port Said St,crack,4,30.067198,31.263873
Autostrad Rd,crack,3,30.084565,31.343415
Shubra St,crack,2,30.110978,31.271142
Pyramids Rd,crack,4,29.967585,31.130286
Ring Road,pothole,2,30.013216,31.196454
Ring Road,crack,4,30.017509,31.202845
Tahrir Square Rd,pothole,2,30.042913,31.231756
Salah Salem,marking,2,30.065464,31.286827
Nasr Rd,subsidence,3,30.055758,31.326421
Salah Salem,crack,2,30.067136,31.274394
Tahrir Square Rd,pothole,3,30.048008,31.236553
Nasr Rd,crack,2,30.0526,31.33068
October Bridge,subsidence,4,30.053208,31.232397
Mohamed Farid St,marking,5,30.057623,31.248936
Corniche El Nil,rutting,3,30.057483,31.242266
Mohandiseen Rd,rutting,3,30.058223,31.195705
October Bridge,pothole,4,30.050927,31.227573
October Bridge,pothole,3,30.050995,31.225071
Corniche El Nil,pothole,4,30.05902,31.24506
Suez Desert Rd,rutting,3,30.101073,31.396055
Shubra St,crack,5,30.112107,31.263553
Dokki St,crack,4,30.047994,31.217277
Ain Shams St,crack,1,30.103516,31.316558
Mohandiseen Rd,pothole,5,30.054191,31.199195
Corniche El Nil,pothole,5,30.048213,31.241663
October Bridge,subsidence,4,30.058274,31.237147
Ramsis St,crack,3,30.064623,31.244931
Pyramids Rd,rutting,3,29.965995,31.134581
Tahrir Square Rd,pothole,3,30.038341,31.241024
Dokki St,edge_break,4,30.032764,31.217565
Dokki St,crack,4,30.039804,31.212183
Suez Desert Rd,rutting,1,30.096269,31.400916
Pyramids Rd,rutting,3,29.970003,31.136722
Salah Salem,crack,1,30.070146,31.279175
Salah Salem,crack,4,30.07229,31.283582
Salah Salem,crack,2,30.06697,31.28248
Heliopolis Ave,pothole,3,30.08518,31.31774
Ramsis St,crack,5,30.06661,31.248838
Ain Shams St,rutting,3,30.102244,31.315409
Pyramids Rd,marking,3,29.972519,31.133114
Tahrir Square Rd,pothole,2,30.044472,31.242661
Mohandiseen Rd,crack,5,30.056122,31.19763
Abbas El Akkad,pothole,2,30.058418,31.320171
Ring Road,marking,5,30.02372,31.192831
Ramsis St,rutting,3,30.060659,31.25143
Ring Road,crack,3,30.020988,31.199413
Maadi Corniche,marking,1,29.964357,31.248348
Nasr Rd,marking,3,30.052605,31.325647
Mohamed Farid St,crack,3,30.065447,31.244906
Tahrir Square Rd,edge_break,5,30.038912,31.240592
Maadi Corniche,crack,4,29.97701,31.253985
Corniche El Nil,edge_break,3,30.056724,31.24509
October Bridge,pothole,5,30.059249,31.223132
Airport Rd,marking,5,30.119665,31.397119
Maadi Corniche,crack,3,29.977336,31.246479
Abbas El Akkad,subsidence,5,30.058474,31.320643
October Bridge,pothole,2,30.056175,31.233712
Suez Desert Rd,pothole,4,30.100488,31.406331
Abbas El Akkad,crack,4,30.060103,31.324101
Nasr Rd,pothole,3,30.064047,31.337396
Autostrad Rd,rutting,5,30.077379,31.346251
Corniche El Nil,edge_break,2,30.06273,31.240822
Dokki St,marking,1,30.037393,31.203587
Tahrir Square Rd,rutting,4,30.037707,31.236694
Maadi Corniche,subsidence,3,29.965062,31.242009
Salah Salem,subsidence,4,30.076235,31.285211
Tahrir Square Rd,rutting,2,30.050751,31.228839
Airport Rd,crack,2,30.127361,31.40317
Nasr Rd,pothole,4,30.052558,31.323555
Mohamed Farid St,crack,4,30.05581,31.242588
Port Said St,marking,1,30.062468,31.259997
Autostrad Rd,crack,4,30.084424,31.34635
Abbas El Akkad,rutting,3,30.067165,31.32748
Salah Salem,crack,2,30.077618,31.275366
Pyramids Rd,crack,4,29.977515,31.137992
Ring Road,pothole,3,30.019258,31.194784
Heliopolis Ave,pothole,3,30.086448,31.312818
Suez Desert Rd,crack,3,30.102026,31.403305
Pyramids Rd,marking,2,29.966751,31.129932
Salah Salem,crack,4,30.067648,31.284587
Ain Shams St,crack,1,30.111045,31.324779
Mohamed Farid St,pothole,2,30.055417,31.250097
Ramsis St,crack,4,30.056272,31.247488
Abbas El Akkad,rutting,3,30.057833,31.318974
Suez Desert Rd,crack,4,30.101559,31.401211
Mohandiseen Rd,subsidence,2,30.063687,31.198225
Autostrad Rd,rutting,3,30.086548,31.349686
Ring Road,crack,4,30.013653,31.198165
Dokki St,rutting,3,30.033094,31.214543
Abbas El Akkad,marking,4,30.062841,31.314371
Corniche El Nil,pothole,2,30.062992,31.245854
Corniche El Nil,rutting,3,30.050746,31.245113
Corniche El Nil,subsidence,5,30.057849,31.232572
Salah Salem,pothole,2,30.06486,31.286931
Port Said St,pothole,5,30.076206,31.264925
Corniche El Nil,rutting,3,30.055036,31.232386
Salah Salem,pothole,4,30.068172,31.285682
Salah Salem,pothole,3,30.07301,31.280584
Mohamed Farid St,crack,5,30.052898,31.251055
Heliopolis Ave,crack,4,30.088608,31.317742
Abbas El Akkad,crack,2,30.070672,31.326691
Dokki St,marking,4,30.039952,31.211714
Airport Rd,rutting,2,30.122306,31.396137
Airport Rd,marking,3,30.121804,31.39202
Nasr Rd,crack,3,30.053965,31.329516
Corniche El Nil,crack,3,30.050269,31.245089
Port Said St,subsidence,3,30.062433,31.25443
Suez Desert Rd,crack,2,30.099223,31.392966
Mohamed Farid St,pothole,3,30.050949,31.249647
Salah Salem,rutting,3,30.070433,31.280627
Ain Shams St,pothole,4,30.103169,31.31416
October Bridge,marking,5,30.051495,31.237137
Tahrir Square Rd,pothole,2,30.045056,31.235358
Ring Road,crack,5,30.022831,31.195056
Pyramids Rd,pothole,3,29.968858,31.131087
Maadi Corniche,pothole,3,29.976017,31.250282
Airport Rd,edge_break,4,30.116844,31.394145
Salah Salem,crack,4,30.066609,31.280259
Airport Rd,rutting,4,30.126177,31.404217
Ring Road,pothole,4,30.027421,31.192451
Corniche El Nil,rutting,3,30.058464,31.231617
Mohamed Farid St,pothole,4,30.062474,31.252243
Salah Salem,rutting,3,30.072423,31.282762
Ain Shams St,crack,2,30.10805,31.315264
Ain Shams St,rutting,4,30.117968,31.319174
October Bridge,crack,3,30.054422,31.22677
Mohamed Farid St,pothole,2,30.056009,31.242719
Ring Road,pothole,2,30.014349,31.19839
